sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
116_back_to_patriarch_node0,Теперь ты заслуживаешь нашего доверия и мы готовы дать тебе информацию,"Now, you deserve our trust, and we are ready to give you information"
116_back_to_patriarch_node1,Почему бы тебе не воспользоваться одним из наших терминалов. Теперь у тебя есть доступ к необходимой информации,Why do not you use one of our terminals. Now you have access to the necessary information
116_back_to_patriarch_transition0_1,"Отлично, расскажите про координаты пустоты, будьте добры","Well, tell us about the coordinates of emptiness, please"
116_back_to_patriarch_transition1_1,"Класс, пойту воспользуюсь",The class will use to go
116_creatures_terminal_node0,На черном фоне монитора мелькают яркие зеленые буквы и цифры,On a black background the monitor flashed bright green letters and numbers
116_creatures_terminal_node1,Успех! *Координаты пустоты успешно скопированы*,Success! * Coordinates the emptiness successfully copied *
116_creatures_terminal_transition0_1,Запросить координаты пустоты,Request coordinates void
116_creatures_terminal_transition1_1,Отлично,Excellent
117_choose_daemons_node0,"Привет, друг. Чего тебе надо от Кузнецов?",Hello Friend. What do you want from the Kuznetsov?
117_choose_daemons_node1,"Сделаем это! Встретимся на месте, а пока изучи эти точки, нужно понять, какая из них правильная.","Let's do it! Meet me on the spot, but for now examine these points, you need to understand which one is correct."
117_choose_daemons_transition0_1,Нужна ваша помощь в усилении портала,I need your help in enhancing the portal
117_choose_daemons_transition1_1,Выдвигаюсь,advance
117_choose_daemons_denied_node0,Своими действиями ты запятнал репутацию перед Кузнецами. Исправься и тогда поговорим (Надо 100 репутации Кузнецов),"By their actions, you tarnished reputation before Kuznetsov. Correct and then talk (Need 100 reputation Kuznetsov)"
117_choose_daemons_denied_transition0_1,Ну ок,"well, OK"
117_choose_robots_node0,"Привет, друг. Чего тебе надо от Созданий?",Hello Friend. What do you want from the foundation?
117_choose_robots_node1,"Мы поможем! Встретимся на месте, а пока изучи точки - только одна из них правильная.",We can help! Meet me on the spot and have been studied in terms - only one of them is correct.
117_choose_robots_transition0_1,"Нужно усилить портал, без вас я не справлюсь","It is necessary to strengthen the portal, without you I can not do it"
117_choose_robots_transition1_1,Выдвигаюсь,advance
117_choose_robots_denied_node0,"Ты испортил репутацию и Создания тебе помогать не будут. Если ты исправишь репутацию, то тогда возможен дальнейший диалог. (Надо 100 репутации Созданий)","You ruined the reputation and creation will not help you. If you will correct reputation, then it is possible further dialogue. (It must be 100 reputation Creations)"
117_choose_robots_denied_transition0_1,Ну ок,"well, OK"
117_choose_foxes_node0,"Привет, друг. Чего тебе надо от Братства?",Hello Friend. What do you want from the Brotherhood?
117_choose_foxes_node1,Можешь на нас положиться. Встретимся на месте. А пока изучи точки - только одна из них правильная.,You can rely on us. Meet me on the spot. And yet to investigate the point - only one of them is correct.
117_choose_foxes_transition0_1,Нужна ваша помощь в постройке портала.,We need your help in the construction of the portal.
117_choose_foxes_transition1_1,Выдвигаюсь,advance
117_choose_foxes_denied_node0,Ты запятнал свою репутацию перед Братством. Мы больше не друзья и помощи от нас не жди. (Надо 100 репутации Братства),"You tarnished its reputation to the Brotherhood. We are no longer friends, and help us not to wait. (It must be 100 reputation of the Brotherhood)"
117_choose_foxes_denied_transition0_1,Ну ок,"well, OK"
IC_007_start_node0,Это Дейв. Тебе удалось достать координаты пустоты?,It's Dave. You managed to get the coordinates of the void?
IC_007_start_node1,"Хорошо, но ты не сможешь в одиночку усовершенствовать портал для прыжка. Нужны инженеры и рабочая сила. Придется выбрать помощь одной из фракций.","Okay, but you can not alone improve the portal for the jump. We need engineers and workforce. We'll have to help choose one of the factions."
IC_007_start_transition0_1,Удалось,Managed
IC_007_start_transition1_1,"Ок, пойду выберу какую-нибудь одну фракцию","Ok, I'll choose some one fraction"
117_engineer_call_1_node0,Это инженер звонит. Сигнал очень слабый. Продолжай двигаться.,This engineer calls. The signal is very weak. Keep moving.
117_engineer_call_1_transition0_1,Ок,OK
117_engineer_call_2_node0,"Это снова инженер. Сейчас сигнал лучше, но все еще недостаточный.","This again is an engineer. Now the signal is better, but still insufficient."
117_engineer_call_2_transition0_1,Ок,OK
117_engineer_call_3_node0,"Это инженер. Сигнал совсем пропал и это странно. Есть только одна причина - над этим осколком есть еще один, более древний. Мы нашли что искали.","This engineer. The signal completely disappeared, and it's weird. There is only one reason - on this splinter there is another, more ancient. We have found that searched."
117_engineer_call_3_transition0_1,Ок,OK
IC_008_start_node0,Это Дейв. Как у тебя успехи?,It's Dave. How are you getting on?
IC_008_start_node1,"Это опасное место, поэтому я туда пойду сам.","This is a dangerous place, so I'll go there myself."
IC_008_start_node2,"Это меньшее, что я могу сделать",It's the least I can do
IC_008_start_transition0_1,"Я смог обнаружить, где находится Мир Ноль",I was able to discover where the World Zero
IC_008_start_transition1_1,Не стоит так рисковать из-за меня,Do not risk it because of me
IC_008_start_transition2_1,Ну ок,"well, OK"
118_start_node0,"Это возмутительно – тысячу лет никто не приходил сюда и не тревожил это святое место, самую близкую к цитадели точку. А в последнее время тут проходной двор: то один приходит, то другой.","This is outrageous - no one came here and did not disturb a thousand years is a holy place, the closest point to the citadel. And recently there thoroughfare: one that comes, then another."
118_start_node1,Это не важно,It does not matter
118_start_transition0_1,Кто уже сюда приходил?,Who has come here?
